order_id,order_date,customer_id,city,state,category,product_name,quantity,price,discount,total_sales,payment_method,order_status
ORD10000,2026-01-13,C204,Pune,Maharashtra,Electronics,Phone,3,16249.0,5,46309.65,Wallet,Delivered
ORD10001,2025-09-16,C716,Pune,Maharashtra,Beauty,Cream,1,6340.0,5,6023.0,UPI,Cancelled
ORD10002,2026-01-24,C925,Mumbai,Maharashtra,Beauty,Cream,4,38818.0,10,139744.80000000002,COD,Shipped
ORD10003,2025-02-17,C489,Mumbai,Maharashtra,Home,Chair,2,14310.0,10,25758.0,,Returned
ORD10004,2025-03-05,C487,Hyderabad,Telangana,Home,Lamp,3,3047.0,15,7769.849999999999,UPI,Returned
ORD10005,2025-12-05,C333,Mumbai,Maharashtra,Home,Lamp,2,,0,92748.0,Card,Delivered
ORD10006,2026-03-04,C473,Kolkata,West Bengal,Fashion,Shirt,4,18417.0,15,62617.799999999996,COD,Returned
ORD10007,2025-11-22,C275,Hyderabad,,Home,Mixer,3,46194.0,0,138582.0,Wallet,Cancelled
ORD10008,2025-12-17,C432,Pune,Maharashtra, electronics ,Shoes,4,17891.0,20,57251.200000000004,UPI,Cancelled
ORD10009,2025-10-18,C997,Pune,Maharashtra,Electronics,Laptop,4,17746.0,0,70984.0,Card,Cancelled
ORD10010,2025-05-07,C862,Pune,Maharashtra,Beauty,Perfume,4,9563.0,10,34426.8,Wallet,Returned
ORD10011,2025-09-18,C605,Pune,Maharashtra,Beauty,Soap,4,23923.0,5,90907.4,UPI,Delivered
ORD10012,2025-02-02,C494,Hyderabad,Telangana,Electronics,Phone,2,44796.0,15,76153.2,NetBanking,Shipped
ORD10013,2025-10-02,C868,Kolkata,West Bengal,Home,Lamp,1,44783.0,0,44783.0,Card,Returned
ORD10014,2026-01-05,C996,Mumbai,Maharashtra,Electronics,Laptop,4,10565.0,15,35921.0,Card,Cancelled
ORD10015,2025-04-12,C256,Hyderabad,Telangana,Electronics,Headphones,3,42074.0,20,100977.6,Card,Cancelled
